04e8,046e,CommunityLikeXBox // Mocute 053X M59
1915,7856,CommunityLikeXBox // Uniplay U6
03f0,038d,CommunityLikeXBox // HyperX Clutch
2dc8,3012,CommunityLikeXBox // 8BitDo Wireless Ultimate DInput
2dc8,3013,CommunityLikeXBox // 8BitDo Wireless Ultimate DInput
2dc8,3015,CommunityLikeXbox // 8BitDo Ultimate C USB DInput
2dc8,3016,CommunityLikeXbox // 8BitDo Ultimate C 2.4g Adapter DInput
2dc8,3017,CommunityLikeXbox // 8BitDo Ultimate C 2.4g USB DInput
20bc,6050,CommunityLikeXBox // Xiaomi XMGP01YM
2717,5033,CommunityLikeXBox // Xiaomi XMGP01YM
0c12,880a,CommunityLikeXBox // Xbox Controller
0c12,8810,CommunityLikeXBox // Xbox Controller
062a,0020,CommunityLikeXBox // Xbox Controller
0f30,8888,CommunityLikeXBox // Xbox Controller
0738,4516,CommunityLikeXBox // Xbox Controller
0738,4526,CommunityLikeXBox // Xbox Controller
0738,4536,CommunityLikeXBox // Xbox Controller
0738,4586,CommunityLikeXBox // Xbox Controller
045e,0202,CommunityLikeXBox // Xbox Controller
045e,0285,CommunityLikeXBox // Xbox Controller
045e,0287,CommunityLikeXBox // Xbox Controller
045e,0289,CommunityLikeXBox // Xbox Controller
19fa,fff0,CommunityLikeXBox // Acteck AGJ 3200
0b05,7906,CommunityLikeXBox // ASUS ROG Kunai 3
0c12,8802,CommunityLikeXBox // Nyko Air Flo Xbox
124b,4d01,CommunityLikeXBox // Nyko Air Flo Xbox
0b05,7905,CommunityLikeXBox // ASUS ROG Kunai 3
145f,01c5,CommunityLikeXBox // Trust GXT 540 Yula
04b4,2411,CommunityLikeXBox // Flydigi Vader 2
04b4,2412,CommunityLikeXBox // Flydigi Vader 2 Pro
1d79,0009,CommunityLikeXBox // Nyko Playpad
11c6,0010,CommunityLikeXBox // Tencent Xianyou GP1
20bc,504d,CommunityLikeXBox // Beitong A1T2 BFM
20bc,5052,CommunityLikeXBox // Beitong G3
044f,b328,CommunityLikeXBox // Score A
046d,c216,CommunityLikeXBox // Logitech Dual Action, F310
046d,c218,CommunityLikeXBox // Logitech RumblePad 2, F510
046d,c219,CommunityLikeXBox // Logitech RumblePad 2, F710
05a0,3232,CommunityLikeXBox // 8Bitdo Zero
2378,1008,CommunityLikeXBox // OnLive
2378,100a,CommunityLikeXBox // OnLive
