Type	VID	PID
3do	289b	0023
3do	289b	0069
3do	289b	006a
8bd	2002	9000
8bd	2dc8	0059
8bd	2dc8	1081
8bd	2dc8	2863
8bd	2dc8	2864
8bd	2dc8	2865
8bd	2dc8	3810
8bd	2dc8	3820
8bd	2dc8	3840
8bd	2dc8	6000
8bd	2dc8	6001
8bd	2dc8	6002
8bd	2dc8	6100
8bd	2dc8	6101
8bd	2dc8	6102
8bd	2dc8	8052
8bd	2dc8	9000
8bd	2dc8	9001
8bd	2dc8	9015
8bd	3810	0009
8bd	3820	0009
cd32	16c0	0001
cd32	289b	0025
dc	289b	0008
dc	289b	0009
dc	289b	000a
free	1038	1412
gametel	25b6	0001
gc	0079	1843
gc	0079	1846
gc	0079	1847
gc	057e	0337
gc	0926	2526
gc	0926	8888
gc	0b43	0005
gc	1740	057f
gc	1a34	f705
gc	20d6	a711
gc	289b	0001
gc	289b	0004
gc	289b	000b
gc	289b	000c
gc	289b	0021
gc	289b	0031
gc	289b	0034
gc	289b	0037
gc	289b	003a
gc	289b	003d
gc	289b	0062
gc	289b	0065
gc	289b	0066
gc	289b	0092
gc	289b	0095
intera	05fd	0239
intera	05fd	0253
intera	05fd	262a
intera	05fd	262f
jag	1781	057b
jag	289b	0018
joyconl	057e	2006
joyconr	057e	2007
n64	0079	1879
n64	06f7	0001
n64	1012	9000
n64	1234	0004
n64	1292	3634
n64	289b	000f
n64	289b	0020
n64	289b	0030
n64	289b	0033
n64	289b	0036
n64	289b	0039
n64	289b	003c
n64	289b	0061
n64	289b	0064
n64	289b	0091
n64	289b	0094
n64	2dc8	3830
n64	2dc8	9002
nec	073e	0301
nec	0f0d	0138
nec	1740	057a
nec	289b	0050
nec	289b	0051
nec	289b	0052
nec	289b	0053
nec	289b	0054
negcon	03eb	0000
neogeo	0c12	07f4
neogeo	1292	4e47
neogeo	289b	0048
ouya	2036	0000
ouya	2836	0001
ps3	0079	0002
ps3	0079	0006
ps3	0079	0007
ps3	0079	0126
ps3	0079	181a
ps3	0079	1844
ps3	0079	1855
ps3	00ff	01cb
ps3	0428	4001
ps3	0433	1101
ps3	044f	b315
ps3	044f	b320
ps3	044f	b323
ps3	044f	d001
ps3	044f	d003
ps3	044f	d007
ps3	044f	d008
ps3	044f	d009
ps3	046d	cad1
ps3	04d9	0002
ps3	04d9	0f16
ps3	0518	0001
ps3	054c	0268
ps3	054c	03a0
ps3	054c	03b4
ps3	054c	03d5
ps3	054c	042f
ps3	054c	0cda
ps3	056e	2005
ps3	056e	200f
ps3	056e	2013
ps3	0583	2050
ps3	0583	205f
ps3	0583	206f
ps3	0583	b00a
ps3	0583	b00b
ps3	0583	b00c
ps3	0583	b00d
ps3	0583	b031
ps3	0583	b047
ps3	05ac	0001
ps3	05b8	1004
ps3	05b8	1006
ps3	05e3	0596
ps3	05e3	1065
ps3	06a3	0621
ps3	06a3	f620
ps3	06a3	f622
ps3	06a3	f623
ps3	06d6	0026
ps3	0738	3180
ps3	0738	3187
ps3	0738	3250
ps3	0738	3282
ps3	0738	3285
ps3	0738	3480
ps3	0738	8818
ps3	0738	8828
ps3	0738	8838
ps3	0738	a856
ps3	0738	f856
ps3	07b5	0315
ps3	0810	0001
ps3	0810	0003
ps3	0810	e001
ps3	08b7	0001
ps3	0925	0005
ps3	0925	1801
ps3	0925	8800
ps3	0925	8868
ps3	0925	8888
ps3	0b43	0003
ps3	0c12	0005
ps3	0c12	0713
ps3	0c12	08f1
ps3	0c12	f11c
ps3	0d9d	3013
ps3	0e6f	0109
ps3	0e6f	0114
ps3	0e6f	011e
ps3	0e6f	0128
ps3	0e6f	0214
ps3	0e6f	1314
ps3	0e6f	6302
ps3	0e8f	0000
ps3	0e8f	0008
ps3	0e8f	0012
ps3	0e8f	105e
ps3	0e8f	3075
ps3	0e8f	310d
ps3	0f0d	0009
ps3	0f0d	0010
ps3	0f0d	0011
ps3	0f0d	0013
ps3	0f0d	0021
ps3	0f0d	0022
ps3	0f0d	0026
ps3	0f0d	0027
ps3	0f0d	002d
ps3	0f0d	0032
ps3	0f0d	003d
ps3	0f0d	0040
ps3	0f0d	0042
ps3	0f0d	0049
ps3	0f0d	004b
ps3	0f0d	004d
ps3	0f0d	0051
ps3	0f0d	0054
ps3	0f0d	005f
ps3	0f0d	0064
ps3	0f0d	006e
ps3	0f0d	0085
ps3	0f0d	0086
ps3	0f0d	0087
ps3	0f0d	0137
ps3	0f30	0107
ps3	0f30	1012
ps3	0f30	1100
ps3	0f30	1102
ps3	0f30	1112
ps3	0f30	1116
ps3	11c0	5503
ps3	11c0	5505
ps3	11ff	3331
ps3	11ff	3341
ps3	120c	0ef9
ps3	12bd	c001
ps3	12bd	c003
ps3	12bd	e001
ps3	12bd	e002
ps3	1345	1000
ps3	1345	6005
ps3	146b	0301
